Title,Abstract
"Advances in biosynthesis, regulation, and metabolic engineering of plant specialized terpenoids","Abstract

Plant specialized terpenoids are natural products that have no obvious role in growth and development, but play many important functional roles to improve the plant’s overall fitness. Besides, plant specialized terpenoids have immense value to humans due to their applications in fragrance, flavor, cosmetic, and biofuel industries. Understanding the fundamental aspects involved in the biosynthesis and regulation of these high-value molecules in plants not only paves the path to enhance plant traits, but also facilitates homologous or heterologous engineering for overproduction of target molecules of importance. Recent developments in functional genomics and high-throughput analytical techniques have led to unraveling of several novel aspects involved in the biosynthesis and regulation of plant specialized terpenoids. The knowledge thus derived has been successfully utilized to produce target specialized terpenoids of plant origin in homologous or heterologous host systems by metabolic engineering and synthetic biology approaches. Here, we provide an overview and highlights on advances related to the biosynthetic steps, regulation, and metabolic engineering of plant specialized terpenoids."
Alternative Carbon Sources for Isoprene Emission,"Isoprene and other plastidial isoprenoids are produced primarily from recently assimilated photosynthates via the 2-C-methyl-D-erythritol 4-phosphate (MEP) pathway. However, when environmental conditions limit photosynthesis, a fraction of carbon for MEP pathway can come from extrachloroplastic sources. The flow of extrachloroplastic carbon depends on the species and on leaf developmental and environmental conditions. The exchange of common phosphorylated intermediates between the MEP pathway and other metabolic pathways can occur via plastidic phosphate translocators. C1 and C2 carbon intermediates can contribute to chloroplastic metabolism, including photosynthesis and isoprenoid synthesis. Integration of these metabolic processes provide an example of metabolic flexibility, and results in the synthesis of primary metabolites for plant growth and secondary metabolites for plant defense, allowing effective use of environmental resources under multiple stresses."
Analysis of sesquiterpenes and sesquiterpenoids,"Abstract

One of the most diverse and significant terpenoid subdivisions in plants is sesquiterpenoids. In addition to playing physiological roles, they show considerable biological and physicochemical properties making them suitable to be used for cosmetic, medicinal, and agrochemical purposes. To this end, phytochemical analysis contributes fundamentally to the novel biodiscovery. Technological progress and enhanced equipment have been applied for small terpenoids and sesquiterpenoids, not to mention approaches and concepts in the methodological area with respect to the analysis and chemistry of natural products. This chapter is an effort to address advanced extraction methods for isolating, identifying, and quantifying sesquiterpenoids and sesquiterpenes in plant sources."
Aphid alarm pheromone: An overview of current knowledge on biosynthesis and functions,"Abstract

Aphids are important agricultural and forest pests that exhibit complex behaviors elicited by pheromonal signals. The aphid alarm pheromone – of which (E)-ß-farnesene is the key (or only) component in most species – plays important roles in mediating interactions among individuals as well as multitrophic interactions among plants, aphids, and aphid natural enemies. Though many important questions remain to be answered, a large body of research has addressed various aspects of the biology, physiology, and ecology of aphid alarm pheromones. Here we review recent advances in our understanding of (a) the identity and composition of aphid alarm signals; (b) their biosynthesis and production; (c) their effects on conspecifics; (d) their role as cues for other insect species; and (e) their potential application for the management of pest organisms."
Application of LC–MS and LC–NMR Techniques for Secondary Metabolite Identification,"Abstract

An overview of advancements and applications of liquid chromatography coupled to nuclear magnetic resonance (LC–NMR) is given and discussed for secondary metabolites in the plant kingdom: terpenoids, alkaloids and phenolic compounds. The different LC–NMR operating modes are presented in order to structure compound elucidation. On-flow and stop-flow modes are described, together with technical improvements such as LC–SPE–NMR and capLC–NMR. Synergetic combination of hyphenated techniques coupled to mass spectrometry and NMR is illustrated and discussed with an example."
Artemisinin biosynthesis in growing plants of Artemisia annua. A 13CO2 study,"Abstract

Artemisinin from Artemisia annua has become one of the most important drugs for malaria therapy. Its biosynthesis proceeds via amorpha-4,11-diene, but it is still unknown whether the isoprenoid precursors units are obtained by the mevalonate pathway or the more recently discovered non-mevalonate pathway. In order to address that question, a plant of A. annua was grown in an atmosphere containing 700 ppm of 13CO2 for 100 min. Following a chase period of 10 days, artemisinin was isolated and analyzed by 13C NMR spectroscopy. The isotopologue pattern shows that artemisinin was predominantly biosynthesized from (E,E)-farnesyl diphosphate (FPP) whose central isoprenoid unit had been obtained via the non-mevalonate pathway. The isotopologue data confirm the previously proposed mechanisms for the cyclization of (E,E)-FPP to amorphadiene and its oxidative conversion to artemisinin. They also support deprotonation of a terminal allyl cation intermediate as the final step in the enzymatic conversion of FPP to amorphadiene and show that either of the two methyl groups can undergo deprotonation."
Attracting friends to feast on foes: engineering terpene emission to make crop plants more attractive to herbivore enemies,"Abstract

When attacked by herbivorous insects or mites, some plant species call on other arthropods for help. They emit mixtures of volatile compounds, dominated by terpenes, to attract carnivorous arthropods that prey on or parasitise herbivores and so reduce further damage. This fascinating defence strategy offers a new, environmentally friendly approach to crop protection. Using recent advances in the biochemistry and molecular genetics of terpene biosynthesis, it should now be possible to engineer crop plants that release terpenes for attracting herbivore enemies. By introducing or selectively altering the existing rate of terpene emission and composition, plant breeders could enable attacked plants to attract enemies and reduce additional herbivory, without compromising the effectiveness of other modes of defence."
Biochemical and functional characterization of two microbial type terpene synthases from moss Stereodon subimponens,"Abstract

Terpenes constitute a large class of plant secondary metabolites. Usually, there is only one type of terpene synthase in seed plants, which is called typical plant terpene synthase. Currently, as a new family of plant terpene synthases, microbial terpene synthase-like (MTPSL) is identificated in nonseed plants. However, our knowledge about the biological function of most MTPSLs in nonseed plants is very limited. Here, we investigated the biochemical and functional characterization of the enzymes encoded by two MTPSLs from moss Stereodon subimponens, SsMTPSL1 and SsMTPSL2. A phylogenetic tree analysis showed that SsMTPSL1 and SsMTPSL2 are homologous to AaMTPSL1, AaMTPSL3, ApMTPSL1, and ApMTPSL3 from hornworts. The enzyme activity experiment demonstrated that SsMTPSL1 has monoterpene synthase and sesquiterpene synthase activity, and SsMTPSL2 has monoterpene synthase activity. Next, we selected SsMTPSL1 to study its biochemical functions. Anti-bacterial activity test in vitro showed that the products of SsMTPSL1 have an anti-bacterial effect on Escherichia coli, Pseudomonas syringae pv. Tomato DC3000 (Pst DC3000), and Staphylococcus aureus. To further understand the function of SsMTPSL1, the transgenic Arabidopsis thaliana plant of SsMTPSL1 is inoculated by Pst DC3000, and the result showed that SsMTPSL1 enhances the resistance of A. thaliana to Pst DC3000. All in all, this study provides new information about the functions of moss MTPSLs."
Biochemistry of Terpenoids,"Publisher Summary

Terpenes are diverse group of compounds, and are found in complex mixtures. They are lipids and frequently unstable. New techniques for purifying and analyzing natural products and determining structures, as well as improved techniques in plant enzymology, have produced rapid progress in this field recently. The facts that many of the enzymes of terpene metabolism are membrane-bound and that the terpenes themselves are hydrophobic, still present problems, and demand new advances in methodology. It has been a common assumption that secondary products are end products of sluggish metabolic pathways. As a result, tracer experiments have often involved incorporation periods from 24 hours to several days. However, results indicate that terpene metabolism in plants is much more dynamic and synthesis and turnover might occur within minutes. A full understanding of the biochemistry of terpenoids in plants requires an interdisciplinary effort, combining organic chemistry, bio-chemistry, plant physiology, plant anatomy, and the applied sciences. The conventional segregation of scientific disciplines has been one of the factors impeding progress in this area."
"Biogenesis, molecular regulation and function of plant isoprenoids","Abstract

Isoprenoids represent the oldest class of known low molecular-mass natural products synthesized by plants. Their biogenesis in plastids, mitochondria and the endoplasmic reticulum–cytosol proceed invariably from the C5 building blocks, isopentenyl diphosphate and/or dimethylallyl diphosphate according to complex and reiterated mechanisms. Compounds derived from the pathway exhibit a diverse spectrum of biological functions. This review centers on advances obtained in the field based on combined use of biochemical, molecular biology and genetic approaches. The function and evolutionary implications of this metabolism are discussed in relation with seminal informations gathered from distantly but related organisms."
Biogenic Volatile Organic Compounds and Their Impacts on Biosphere–Atmosphere Interactions,"Abstract

Biogenic volatile organic compounds (BVOC) play a critical role in biosphere–atmosphere interactions and are key constraints of the physical and chemical properties of the atmosphere, potentially influencing the climate and the quality of air, especially in the areas exposed to in situ release or long-range transport of anthropogenically polluted air masses. Under these conditions, reactive BVOC may contribute to ozone and particle production. The very large amount of BVOC emitted by vegetation, estimated today to more than 1000 Tg C annually, is dominated by methanol and isoprenoids, released predominantly by forest species. Such a high rate of emission implies a large metabolic cost and hence likely indicates very important plant functional roles for these compounds. BVOC can be emitted by plants constitutively, or the emission may be induced in response to biotic and abiotic factors. Both constitutive and induced isoprenoids often act as defensive compounds and are crucial for plant protection in stressful environments. The importance of volatile isoprenoids as protecting molecules has been widely discussed. However, based on the use of genetically modified plants and novel technologies that allow detection of BVOC oxidation products, the idea is emerging that especially volatile isoprenoids act as antioxidants in planta, whereas they contribute to the oxidation potential of the atmosphere."
Biogenic volatile organic compounds in different ecosystems in Southern Kenya,"Abstract

Biogenic volatile organic compounds (BVOCs) have an important impact on atmospheric chemistry. Mixing ratio of BVOCs in different ecosystems have been measured and discussed in detail in recent decades. However, field measurements from tropical Africa remain scarce. In this study, we present the mixing ratio of BVOCs, including isoprene, monoterpenoids, sesquiterpenes, bornylacetate, and 2–methyl–3–buten–2–ol from typical forests, bushlands, grasslands and agricultural ecosystems in Taita Taveta County, southern Kenya. The measurements were conducted in April 2019 during the end of the dry season. The total BVOC mixing ratios in forest, agricultural, bushland and grassland ecosystems were 913 ± 183 pptv, 1094 ± 179 pptv, 751 ± 47 pptv and 886 ± 95 pptv, respectively. Isoprene represented 76%, 86%, 91% and 85%, respectively, of total mixing ratios. Monoterpenoids represented in 23%, 14%, 8% and 14% of total mixing ratios, respectively. Monoterpenoid have strong effect on the total BVOC mixing ratios, especially at the certain landscape (i.e. wattletree, pine and cypress forest, and dry grassland). The monoterpenoids were dominated by a–pinene, limonene and ß–pinene in all of the ecosystems. Linalool was found in a relative high mixing ratio from all lowland samples, which was likely responding to the lower soil moisture."
Biosynthesis of andrographolide in Andrographis paniculata,"Abstract

Andrographolide, a diterpene lactone, is isolated from Andrographis paniculata which is well known for its medicinal properties. The biosynthetic route to andrographolide was studied using [1-13C]acetate, [2-13C]acetate and [1,6-13C2]glucose. The peak enrichment of eight carbon atoms in the 13C NMR spectra of andrographolide suggested that deoxyxylulose pathway (DXP) is the major biosynthetic pathway to this diterpene.

The contribution of the mevalonic acid pathway (MVA) is indicated by the observed 13C-labeling pattern, and because the labeling patterns indicate a simultaneous contribution of both methyl erythritol phosphate (MEP) and MVA pathways it can be deduced that cross-talk occurs between plastids and cytoplasm."
Biosynthesis of mono- and sesquiterpenes in carrot roots and leaves (Daucus carota L.): metabolic cross talk of cytosolic mevalonate and plastidial methylerythritol phosphate pathways,"Abstract

The biosynthesis of the monoterpenes terpinolene and myrcene and the sesquiterpene ß-caryophyllene in roots and leaves of two carrot varieties (Daucus carota L. cultivars Bolero and Kazan) were investigated by in vivo feeding experiments with [5,5-2H2]-mevalonic acid lactone (d2-MVL) and [5,5-2H2]-1-deoxy-d-xylulose (d2-DOX). The volatiles of the tissues were extracted by stir bar sorptive extraction and analyzed using thermal desorption–multidimensional gas chromatography–mass spectrometry. The experiments demonstrate independent de novo-biosynthesis of terpenoids in carrot roots and in carrot leaves. In both plant tissues monoterpenes are biosynthesized exclusively via the 1-deoxy-d-xylulose/2-C-methyl-d-erythritol-4-phosphate (DOXP/MEP) pathway, whereas sesquiterpenes are generated by the classical mevalonic acid pathway as well as by the DOXP/MEP route. A more detailed investigation of carrot root tissues revealed that the biosynthesis of terpenes is mainly localized in the phloem. Nevertheless, in xylem a de novo-biosynthesis of terpenes was detectable as well, even in the absence of oil ducts in this tissue."
"Biosynthesis of the irregular monoterpene artemisia ketone, the sesquiterpene germacrene D and other isoprenoids in Tanacetum vulgare L. (Asteraceae)","Abstract

The incorporation of [1-13C]-labeled glucose into the irregular monoterpene artemisia ketone, the regular monoterpenes camphor and ß-thujone, the sesquiterpene germacrene D, the diterpene trans-phytol and ß-sitosterol and isofucosterol has been studied in axenic cultures of Tanacetum vulgare L. (Asteraceae).

Quantitative 13C NMR spectroscopic analysis of the resulting labeling patterns showed that the isoprene units of the monoterpenes and the diterpene are formed via the methylerythritol phosphate (MEP) pathway, whereas the isoprene building blocks of the sesquiterpene and the sterols originate from the mevalonic acid (MVA) pathway."
Biosynthesis of the sesquiterpene germacrene D in Solidago canadensis: 13C and 2H labeling studies,"Abstract

The biogenetic origin of the isoprenoid building blocks of the sesquiterpene germacrene D was studied in Solidago canadensis. Feeding experiments were carried out with 1-[5,5-d2]deoxy-d-xylulose-5-phosphate (D2-DOXP), [5-13C]mevalonolactone (13C-MVL) and [1-13C]-d-glucose. The hydrodistillate of a cut shoot fed with D2-DOXP was investigated by enantio-MDGC–MS and the volatile fraction of a shoot supplied with 13C-MVL was examined by GC–C–IRMS. The incorporation of [1-13C]-d-glucose was analyzed by quantitative 13C NMR spectroscopy after isolation of germacrene D from the essential oil. Our labeling studies revealed that the biosynthesis of the C-15 skeleton of sesquiterpene germacrene D in Solidago canadensis proceeds predominantly via the methylerythritol phosphate pathway."
"Biosynthesis of ß-caryophyllene, a novel terpene-based high-density biofuel precursor, using engineered Escherichia coli","Abstract

ß-caryophyllene is a common sesquiterpene compound currently being studied as a promising precursor for the production of high-density fuels. Acute demand for high-density fuels has provided the impetus to pursue biosynthetic methods to produce ß-caryophyllene from reproducible sources. In this study, we produced ß-caryophyllene by assembling a biosynthetic pathway in an engineered Escherichia coli strain of which phosphoglucose isomerase gene has been deleted. The 1- deoxy-d-xylulose 5-phosphate (DXP) or heterologous mevalonate (MVA) pathways were employed. Meanwhile, geranyl diphosphate synthase, glucose-6-phosphate dehydrogenase and ß-caryophyllene synthase genes were co-overexpressed in the above strain. The final genetically modified strain, YJM59, produced 220 ± 6 mg/L of ß-caryophyllene in flask culture. We also evaluated the use of fed-batch fermentation for the production of ß-caryophyllene. After induction for 60 h, the YJM59 strain produced ß-caryophyllene at a concentration of 1520 mg/L. The volumetric production fermented in the aerobic fed-batch was 0.34 mg/(L·h·OD600) and the conversion efficiency of glucose to ß-caryophyllene (gram to gram) was 1.69%. Our results are the first successful attempt to produce ß-caryophyllene using E. coli BL21(DE3), and provide a new strategy that is green and sustainable for the production of ß-caryophyllene."
Biosynthetic potential of sesquiterpene synthases: Alternative products of tobacco 5-epi-aristolochene synthase,"Abstract

Nicotiana tabacum (tobacco) 5-epi-aristolochene synthase (TEAS) serves as an useful model for understanding the enzyme mechanisms of sesquiterpene biosynthesis. Despite extensive bio-chemical and structural characterization of TEAS, a more detailed analysis of the reaction product spectrum is lacking. This study reports the discovery and quantification of several alternative sesquiterpene products generated by recombinant TEAS in the single-vial GC–MS assay. The combined use of chiral and non-polar stationary phases for gas chromatography separations proved critical for resolving the numerous sesquiterpene products of TEAS for mass spectral analysis and identification. Co-injection studies with available authentic standards from both synthetic and natural sources further corroborated the assignment of several compounds, resulting in an annotated reaction mechanism accounting for their biosynthesis. Moreover, a previously undocumented farnesyl trans–cis isomerization pathway was observed."
Both methylerythritol phosphate and mevalonate pathways contribute to biosynthesis of each of the major isoprenoid classes in young cotton seedlings,"Abstract

In higher plants, both the methylerythritol phosphate (MEP) and mevalonate (MVA) pathways contribute to the biosynthesis of isoprenoids. However, despite a significant amount of research on the activity of these pathways under different conditions, the relative contribution of each to the biosynthesis of diverse isoprenoids remains unclear. In this work, we examined the formation of several classes of isoprenoids in cotton (Gossypium hirsutum L.). After feeding [5,5-2H2]-1-deoxy-d-xylulose ([5,5-2H2]DOX) and [2-13C]MVA to intact cotton seedlings hydroponically, incorporation into isoprenoids was analyzed by MS and NMR. The predominant pattern of incorporation followed the classical scheme in which C5 units from the MEP pathway were used to form monoterpenes (C10), phytol side chains (C20) and carotenoids (C40) while C5 units from the MVA pathway were used to form sesquiterpenes (C15), terpenoid aldehydes (C15 and C25) and steroids/triterpenoids (C30). However, both pathways contributed to all classes of terpenoids, sometimes substantially. For example, the MEP pathway provided up to 20% of the substrate for sterols and the MVA pathway provided as much as 50% of the substrate for phytol side chains and carotenoids. Incorporation of C5 units from the MEP pathway was highest in cotyledons, compared to true leaves, and not observed at all in the roots. Incorporation of C5 units from the MVA pathway was highest in the roots (into sterols) and more prominent in the first true leaves than in other above-ground organs. The relative accumulation of label in intermediates vs. end products of phytosterol metabolism confirmed previous identification of slow steps in this pathway."
C6-Green leaf volatiles trigger local and systemic VOC emissions in tomato,"Abstract

In response to insect feeding, tomato plants (Lycopersicon esculentum) release elevated levels of volatile organic compounds; that is, monoterpenes and sesquiterpenes are released both locally and systemically with wounding while C6 green leaf volatiles are released only from damaged leaves. With the exogenous application (100 nmol) of the C6-tomato-volatile (E)-2-hexenal, an increase in the release of local and systemic terpenes was observed, while an equimolar amount of methyl jasmonate triggered only local emissions of terpenes. Labeling studies with 13CO2 showed that de novo synthesis was not required for monoterpene or sesquiterpene release immediately following chemical treatment or insect feeding. Comparative measurements were made between aldehyde doses applied to the plant and levels naturally released from leaves with insect damage."
"Carotenoid biofortification in crop plants: citius, altius, fortius","Abstract

Carotenoids are indispensable for human health, required as precursors of vitamin A and efficient antioxidants. However, these plant pigments that play a vital role in photosynthesis are represented at insufficient levels in edible parts of several crops, which creates a need for increasing their content or optimizing their composition through biofortification. In particular, vitamin A deficiency, a severe health problem affecting the lives of millions in developing countries, has triggered the development of a series of high-provitamin A crops, including Golden Rice as the best-known example. Further carotenoid-biofortified crops have been generated by using genetic engineering approaches or through classical breeding. In this review, we depict carotenoid metabolism in plants and provide an update on the development of carotenoid-biofortified plants and their potential to meet needs and expectations. Furthermore, we discuss the possibility of using natural variation for carotenoid biofortification and the potential of gene editing tools. This article is part of a Special Issue entitled Carotenoids recent advances in cell and molecular biology edited by Johannes von Lintig and Loredana Quadro."
"cDNA Cloning, Characterization, and Functional Expression of Four New Monoterpene Synthase Members of the Tpsd Gene Family from Grand Fir (Abies grandis)","Abstract

Grand fir (Abies grandis) is a useful model system for studying the biochemistry, molecular genetics, and regulation of defensive oleoresin formation in conifers, a process involving both the constitutive accumulation of resin (pitch) in specialized secretory structures and the induced biosynthesis of monoterpenes and sesquiterpenes (turpentine) and diterpene resin acids (rosin) by nonspecialized cells at the site of injury. A similarity-based cloning strategy, employing primers designed to conserved regions of existing monoterpene synthases and anticipated to amplify a 1000-bp fragment, unexpectedly yielded a 300-bp fragment with sequence reminiscent of a terpenoid synthase. Utilization of this amplicon as a hybridization probe afforded four new, full-length cDNA species from a wounded fir stem cDNA library that appeared to encode four distinct monoterpene synthases. Expression in Escherichia coli, followed by enzyme assay with geranyl diphosphate (C10), farnesyl diphosphate (C15) and geranylgeranyl diphosphate (C20), and analysis of the terpene products by chiral phase gas chromatography and mass spectrometry confirmed that these sequences encoded four new monoterpene synthases, including (-)-camphene synthase, (-)-ß-phellandrene synthase, terpinolene synthase, and an enzyme that produces both (-)-limonene and (-)-a-pinene. The deduced amino acid sequences indicated these enzymes to be 618 to 637 residues in length (71 to 73 kDa) and to be translated as preproteins bearing an amino-terminal plastid targeting sequence of 50–60 residues. cDNA truncation to delete the transit peptide allowed functional expression of the “pseudomature” forms of these enzymes, which exhibited no change in product outcome as a result of truncation. Sequence comparison revealed that these new monoterpene synthases from grand fir are members of the Tpsd gene subfamily and resemble sesquiterpene (C15) synthases and diterpene (C20) synthases from conifers more closely than mechanistically related monoterpene synthases from angiosperm species. The availability of a nearly complete set of constitutive and inducible monoterpene synthases from grand fir (now numbering seven) will allow molecular dissection of the resin-based defense response in this conifer species, and detailed study of structure–function relationships among this large and diverse family of catalysts, all of which exploit the same stereochemistry in the coupled isomerization–cyclization reaction."
"cDNA cloning, prokaryotic expression and functional analysis of 3-hydroxy-3-methylglutaryl coenzyme A reductase (HMGCR) in Pogostemon cablin","Abstract

Pogostemon cablin is an important commercial source of patchouli oil, whose main active ingredient is patchouli alcohol. This sesquiterpene is a product of the mevalonate pathway, in which 3-hydroxy-3-methyl-glutaryl-coenzyme A reductase (HMGCR) is the rate-limiting enzyme. In this study, P. cablin HMGCR cDNA, comprising 2209 nucleotides encoding 425 amino acid residues was isolated, and bioinformatics analysis was used to analyze the protein sequence. Based on this analysis, a C-terminal truncated variant was engineered for recombinant expression in E. coli. The 38?kDa recombinant protein was identified by SDS-PAGE, and assayed for mevalonolactone production. According to the PcHMGCR1 gene sequence alignment with other species, the HMGCR protein had obvious resemblance with other plants HMG coenzyme A reductase and had homology with other species including plants, fungi, archaebacteria and animals. The prokaryotic expression vector was constructed by restriction enzyme digestion to be transformed into E. coli to express the recombinant protein, and 38?kDa recombinant protein was identified by the SDS-PAGE. Enzymatic activity was detected using GC-MS and, as a result, mevalonolactone was detected in the in vitro reaction mixture. Differential expression analysis showed that PcHMGCR1 expressed the highest amount in roots. The research results are of great significance for further research on the molecular biosynthesis mechanism of Patchouli alcohol in P. cablin."
Chapter 1 Aroma Volatiles,"Abstract

Flavor composition has been defined as a complex attribute of quality, in which the mix of sugars, acids, and volatiles play a primary role. In addition to the four basic flavors (sweet, sour, salty, and bitter) that humans can recognize in fruits and vegetables, aroma has an important influence on the final consumer acceptance of the commodity. Fruit aroma is determined by a complex mixture of a large number of volatile compounds including alcohols, aldehydes, and esters. During fruit development, especially at ripening, there are many changes of these metabolites caused by their synthesis, transport or degradation. In terms of volatile biosynthesis, several studies have been performed identifying and characterizing the most important genes and encoded enzymes involved in aroma-related volatiles; however, research in the mechanisms of regulation or modulation is still limited. To have an updated overview about aroma biosynthesis in fruit species, the main objective of this manuscript was to review the recent advances in this topic, mainly in terms of the new insights in volatile characterization, gene identification, and regulation of aroma during fruit ripening."
Chapter 14 Plant Volatiles in Defence,"Abstract

Plant odours are the most ubiquitous volatiles in nature. This chapter deals with the biochemistry and molecular biology of plant volatiles that are emitted from vegetative tissues during pathogen- or herbivore-induced stress and the contribution of these volatiles to plant defences. While mechanical tissue wounding causes the non-specific release of volatiles, herbivore-specific elicitors from their saliva distinctly alter the volatile signature. These volatiles acquired diverse roles in ecological interactions. Firstly, they can be toxic to, or repel conspecific or other herbivores from already infested plants. This function is referred to as ‘direct defence’. Secondly, volatiles function as prey-associated signals for foraging carnivorous arthropods. This is referred to as ‘indirect defence’. Finally, volatiles elicit metabolic changes in unattacked neighbouring plants resulting in priming and induction of defences already before herbivores have arrived. This is referred to as ‘plant–plant communication’. Although volatile production by native plants and crops is highly variable under different growth conditions and during development, its function in direct and indirect defences is remarkably robust. With the current state of knowledge, it is now possible to manipulate these direct and indirect defences through breeding or transgenic approaches. Taken together, plant volatiles play profound roles in plant–herbivore and plant–pathogen interactions and are promising targets for improved crop protection."
"Chapter one Arabidopsis thaliana, a model system for investigating volatile terpene biosynthesis, regulation, and function","Summary

Plants use volatile compounds in general, and terpenes in particular, to attract pollinators to their flowers and to ward off, directly or indirectly, harmful insect, animal, and microbial pests. We have shown that the Arabidopsis model system is as useful for the study of terpene biosynthesis and emission as it is for so many other areas of plant biology. The availability of the sequence of the entire Arabidopsis genome has allowed us to identify the complete TPS gene family, and to begin to correlate the emission of specific terpenes with the expression of specific AtTPS genes. With the modern tools available for experimentation in Arabidopsis, this model organism constitutes the best system to elucidate the mechanisms regulating the processes of plant-insect interaction via volatiles, which operate in both the vegetative and the reproductive parts of the plants."
Chapter ten The chemical wizardry of isoprenoid metabolism in plants,"Publisher Summary

This chapter provides general appreciation for some of the exciting research at several different levels in the field of terpene and isoprenoid metabolism in plants. The structural variety of terpenes is elaborated by subsequent modifications to the cyclic scaffolds or backbones by hydroxylations, methylations, demethylations, halogenations, oxidations, and possibly even glycosylations. Biologists use the tools of molecular genetics to define the contribution of isoprenoids to the ability of plants to interact with their environment. The chapter discusses that molecular biologists and geneticists are determining mechanisms regulating the expression of this biosynthetic machinery, and biochemists are elucidating structure–function relationships for key enzymes in the pathway. Bringing this array of information back together and using it for the creation of novel terpenes having unique biological roles is clearly one of the next great challenges in the field. This includes the development of designer enzymes, the coupling of enzymes in novel ways (physically and biochemically), and expressing de novo isoprenoid pathways in transgenic microbes and plants."
Characterization of Coffee Genes Involved in Isoprenoid and Diterpene Metabolic Pathways,"Abstract

Studies aiming to improve cup quality are important to the coffee agrobusiness. Isoprenoids and diterpenes are biochemical compounds related to plant defense mechanisms, health-related properties, and sensorial properties of coffee. Two diterpenes are exclusively found in coffee plants: cafestol (CAF) and kahweol (KAH). The final steps of CAF and KAH biosynthesis have not yet been elucidated. To understand these metabolic pathways and the accumulation/degradation of these compounds, we are integrating biochemical (high-performance liquid chromatography (HPLC) and molecular data (RNA sequencing) to find candidate genes that follow the same patterns in both analysis. We identified 24 putative genes, some of which showed an expression pattern similar to HPLC (CAF/KAH) quantification profiles. These data can provide important information on key genes related to the metabolic pathways of isoprenoids and diterpenes and direct future analysis."
Characterization of three linalool synthase genes from Citrus unshiu Marc. and analysis of linalool-mediated resistance against Xanthomonas citri subsp. citri and Penicilium italicum in citrus leaves and fruits,"Abstract

Three cDNA clones from Satsuma mandarin (Citrus unshiu Marc.) were isolated and expressed in Escherichia coli. CuSTS3-1 and CuSTS3-2 encode linalool synthases and CuSTS4 encodes a nerolidol/linalool synthase. Transcripts of CuSTS3-1, CuSTS3-2 and CuSTS4 were abundant in young fruit at 60 days after flowering (DAF), flowers and leaves, respectively. Treatments with Xanthomonas citri subsp. citri (XCC), the causal agent of citrus canker and Penicillium italicum (PI), the cause of post-harvest fruit decay, and wounding up-regulated CuSTS3-1 in fruit and mainly CuSTS4 in leaves. Linalool, citral, geraniol and citronellol showed strong antibacterial and antifungal activities against XCC and PI in vitro, while most other mono-and sesquiterpenes, including limonene and gamma-terpinene, did not. Linalool, used at levels similar to those present in resistant Ponkan mandarin (Citrus reticulata Blanco) leaves, was able to inhibit growth of XCC in vitro. Compared to other five citrus types, linalool accumulated at extraordinarily high levels in Ponkan mandarin leaves and was released at high amounts from their leaves, while it was hardly detectable in the most susceptible species, indicating that linalool biosynthesis and accumulation might be involved in plant defense against bacterial and fungal pathogens and be associated with field resistance to citrus canker."
Chemistry of Essential Oils and Factors Influencing Their Constituents,"Abstract

Medicinal plants are the most popular forms of traditional plants used to maintain health, as well as prevent or treat physical and mental disorders. Chemical compounds of plants are classified into primary metabolites and secondary metabolites. Plants produce a great variety of secondary metabolites related to the mechanisms of adaptation and important in mediating interactions between plants and the biotic environment. Among secondary metabolites, essential oils (EOs) are very important natural products, which have different therapeutic and biological activities. EOs (volatile oils) are complex mixtures of odorous principles stored in special plant cells and glands in different parts of plants, which are obtained by living organisms and isolated by pressing and hydro or steam distillation in some plant families. The constituents of plant EOs fall mainly into two distinct chemical classes: terpenes and phenylpropanoids. Furthermore, terpene compounds can be divided into two main categories: (1) hydrocarbons, mainly the mono-, sesqui-, and diterpenes; and (2) their oxygenated compounds, for instance, alcohols, oxides, aldehydes, ketones, phenols, acids, esters, and lactones. Several factors can influence the composition of EOs, including growth conditions, climate, altitude, soil type, agricultural methods and practices, developmental stage, plant part extracted, and harvesting time. The aim of this chapter is to investigate the chemical composition of various EO-bearing plants and the factors that are most influential in affecting the ratios of essential oil molecules made by the plant."
Chemistry of Isoprenoid Compounds,"Publisher Summary

This chapter discusses the chemistry of isoprenoid compounds. The chemical analysis of plant and animal material has shown the occurrence of a large number of compounds with a molecular structure, which can be constructed from isoprene or isopentane units. This structure appears in volatile oils of plants, the essential oils, valued since early history because they carried the Quinta essentia, the fragrance of the plants. The occurrence of this type of compound in oil of turpentine impressed upon them the name “terpenes.” Higher boiling fractions of the oils contained closely related compounds, which received the name of sesquiterpenes, because their formula contained 1.5 times as many carbon atoms as the monoterpenes. The variety in structure of the terpenoids is caused not only by the number of isopentane or isoprene units, but also by the way in which carbon atoms of the units are interlocked."
